date,rating,review_text,sentiment,keywords,channel,order_id
2025-10-31,5,"Loaded nachos are perfect for sharing. So filling!",positive,"perfect,filling",in_person,ORD118
2025-10-31,4,"Wings are always crispy and flavorful.",positive,"crispy,flavorful",doordash,ORD119
2025-10-31,5,"Best fast food in the neighborhood! Quality beats chains.",positive,"best,quality",in_person,ORD120
2025-10-31,3,"Fries were cold today. Disappointing.",neutral,"cold,disappointing",ubereats,ORD125
2025-11-01,5,"Classic burger never fails. Juicy and perfectly seasoned.",positive,"never fails,juicy,perfect",in_person,ORD131
2025-11-01,4,"Wings are my favorite! Always order extra sauce.",positive,"favorite,always",ubereats,ORD133
2025-11-01,5,"Combo meals are great value. Always leave satisfied.",positive,"value,satisfied",doordash,ORD134
2025-11-01,3,"Delivery took longer than expected but food was good.",neutral,"longer,good",ubereats,ORD137
2025-11-01,5,"Veggie bowl is so fresh! Can taste the quality ingredients.",positive,"fresh,quality",in_person,ORD136
2025-11-01,4,"BBQ sandwich is messy but delicious. Worth it!",positive,"delicious,worth",ubereats,ORD142
2025-11-01,5,"Best wings in NYC! I order them every week.",positive,"best,every week",in_person,ORD143
2025-11-01,2,"Forgot my drink in the order. Had to request refund.",negative,"forgot,refund",pickup,ORD144
2025-11-01,5,"Grilled chicken salad is my healthy addiction!",positive,"healthy,addiction",doordash,ORD146
2025-11-01,4,"Spicy chicken has great heat level. Just right!",positive,"great,just right",ubereats,ORD148
2025-11-01,5,"Fish tacos are restaurant-quality. Absolutely love them!",positive,"quality,love",pickup,ORD150
2025-11-01,3,"Burger was good but bun was slightly stale.",neutral,"good,stale bun",in_person,ORD151
2025-11-01,5,"Loaded nachos are amazing! Perfect for game day.",positive,"amazing,perfect",in_person,ORD151
2025-11-01,4,"Consistent quality every time. Never disappointed.",positive,"consistent,never disappointed",doordash,ORD152
2025-11-01,5,"Wings are absolutely addictive. Best sauce ever!",positive,"addictive,best",in_person,ORD152
2025-11-01,5,"Veggie bowl is so flavorful! Love all the fresh ingredients.",positive,"flavorful,love,fresh",ubereats,ORD154
2025-11-01,4,"Combo meal is filling and delicious. Great value!",positive,"filling,delicious,value",in_person,ORD155
2025-11-01,5,"Best burgers in the area! Always perfectly cooked.",positive,"best,perfect",doordash,ORD157
2025-11-01,3,"Fries were undersalted today. Usually better.",neutral,"undersalted,usually better",in_person,ORD158
2025-11-02,5,"Buffalo wings are perfection! Crispy and saucy.",positive,"perfection,crispy,saucy",ubereats,ORD166
2025-11-02,4,"Good food, quick service. Always reliable.",positive,"good,quick,reliable",in_person,ORD164
2025-11-02,5,"Combo meals are the best deal. Always satisfied!",positive,"best deal,satisfied",doordash,ORD167
2025-11-02,5,"Spicy chicken sandwich is incredible! Perfect spice level.",positive,"incredible,perfect",in_person,ORD168
2025-11-02,4,"Veggie bowl is healthy and delicious. Win-win!",positive,"healthy,delicious",in_person,ORD169
2025-11-02,5,"Classic burger is consistently excellent. My favorite!",positive,"consistent,excellent,favorite",ubereats,ORD170
2025-11-02,3,"Delivery driver was late. Food was still warm though.",neutral,"late,still warm",doordash,ORD173
2025-11-02,5,"Grilled chicken salad is massive! Great ingredients.",positive,"massive,great",ubereats,ORD175
2025-11-02,4,"Buffalo wings never disappoint. Always crispy!",positive,"never disappoint,crispy",in_person,ORD176
2025-11-02,5,"Fish tacos are the best! Fresh and flavorful.",positive,"best,fresh,flavorful",doordash,ORD179
2025-11-02,4,"Spicy chicken has just the right amount of heat.",positive,"right amount,heat",ubereats,ORD181
2025-11-02,5,"Loaded nachos are incredible! So much topping!",positive,"incredible,so much",in_person,ORD184
2025-11-02,5,"Wings are addictive! Order them every time.",positive,"addictive,every time",doordash,ORD185
2025-11-02,4,"Classic burger is always solid. Never fails.",positive,"solid,never fails",in_person,ORD186
2025-11-02,5,"Veggie bowl is my healthy obsession. So good!",positive,"obsession,so good",ubereats,ORD187
2025-11-02,5,"Best combo deal in the city! Always satisfied.",positive,"best,satisfied",in_person,ORD188
2025-11-02,4,"Spicy chicken sandwich is flavorful and juicy.",positive,"flavorful,juicy",pickup,ORD189
2025-11-02,5,"Buffalo wings are the best! Perfectly sauced.",positive,"best,perfect",ubereats,ORD192
2025-11-02,5,"Combo meals are my go-to. Never disappoints!",positive,"go-to,never disappoints",in_person,ORD193
